LARVcov,EIR,outcome,outcomeLabel,Frequency_fct,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
80,3,Nv,Host-seeking mosquitoes,60,3.58512506761844,8.06007247073266,6.56597075131532,6.89857868861903,1.17537231188656,18,5.7528985777642,7.39400671064173,4.2534678566865,7.99268546574812,0.277037910717966,5.98147185163216,7.15046965099848,0
80,3,Nv,Host-seeking mosquitoes,once,1.47398996578529,5.03955583131614,3.74461052250084,3.69500234838125,0.929307145603791,18,3.30589283586269,4.46372061815091,1.7946991037609,4.95616206753033,0.219039794820518,3.28247695122309,4.20674409377858,0
80,10,Nv,Host-seeking mosquitoes,5,69.553439510454,76.278555723052,71.3921066479294,70.6233195367372,1.96804895961162,18,70.1754292342805,71.3312779063769,69.6121922334652,75.9313856327108,0.463873588349502,70.4134189250842,72.3707943707746,0
80,10,Nv,Host-seeking mosquitoes,10,35.1008996237971,41.1443461450787,36.8171141301487,36.1193006390818,1.72211595350409,18,35.4808938193477,37.6958896292225,35.1325117952815,40.721996779123,0.405906622904093,35.9607260139999,37.6735022462974,0
80,10,Nv,Host-seeking mosquitoes,15,23.4290392674957,28.5859823985148,24.8189198595983,24.5982660807041,1.26155193466367,18,23.8280133275716,25.3141196224872,23.4542119356412,27.6277077348428,0.297350642606564,24.1915648417482,25.4462748774483,0
80,10,Nv,Host-seeking mosquitoes,20,16.2520953931369,21.3401359454822,18.7673320424017,18.6656774338286,1.17854361136782,18,17.9810902990862,19.4442345517039,16.8185956785227,20.9576501211083,0.27778539317409,18.1812560925884,19.3534079922149,0
80,10,Nv,Host-seeking mosquitoes,30,10.8970694492792,15.6503808410186,13.4841246524629,13.5656581907628,1.47533217963838,18,12.5488942834654,14.4386177407981,10.986342950796,15.5943915211568,0.347739129575008,12.7504592198633,14.2177900850625,0
80,10,Nv,Host-seeking mosquitoes,60,5.24824522832907,9.20200271608704,6.86189162131826,6.79077268734718,1.03354220804573,18,6.36238895023852,7.0706457563723,5.37459369752609,8.97164482476278,0.243608234650551,6.34792317296406,7.37586006967247,0
80,10,Nv,Host-seeking mosquitoes,once,0.958629670085999,4.69771201655676,3.08016150735232,3.12248545597958,1.01411419512678,18,2.6062281783671,3.91377373221151,1.07494063723285,4.55765167209512,0.239029008090561,2.57585438252881,3.58446863217583,0
80,90,Nv,Host-seeking mosquitoes,5,69.4594622584407,76.5305636442072,71.2696954991274,70.582684884971,1.88560547220443,18,70.1417798621276,71.4326718486705,69.508235178681,75.8052134525203,0.444441472012737,70.3320059580398,72.207385040215,0
80,90,Nv,Host-seeking mosquitoes,10,34.4681537544932,40.0730678532532,36.4485914479729,36.084712429385,1.52483938101324,18,35.4242825707327,37.3495374932518,34.5783419385084,39.7069630446189,0.359408088844919,35.6903066633286,37.2068762326172,0
80,90,Nv,Host-seeking mosquitoes,15,23.1765755498185,28.0051194112491,24.6333101541866,24.2752944744409,1.29053816241279,18,23.7828565316152,25.19891116967,23.2097841493142,27.4109401642553,0.30418276200737,23.9915406243951,25.2750796839781,0
80,90,Nv,Host-seeking mosquitoes,20,17.0660245189881,21.9712000801425,18.9848999234731,18.8987732485263,1.14985955958009,18,18.4370636352172,19.4942968333103,17.2927663789069,21.4904524084471,0.271024497330419,18.413088217031,19.5567116299153,0
80,90,Nv,Host-seeking mosquitoes,30,10.6888061219614,15.6841007074055,13.1324715177469,13.127211237888,1.38123402549524,18,12.0370277367806,13.8403327537878,10.9560696933873,15.5829572584662,0.325559981944425,12.4455999963215,13.8193430391724,0
