PostInterventionDays,EIR,LARVcov,outcome,outcomeLabel,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
365,90,10,PR,Prevalence,-0.449772645204044,2.53912867745389,1.08884126948803,1.1313488482372,0.708309480968538,18,0.707983877276036,1.34414708003238,-0.296067952639123,2.26042592230071,0.166950145723859,0.736607251318294,1.44107528765777,0
365,90,10,simulatedEIR,EIR,9.77353104875926,14.3672070416103,12.1344017980709,12.1514313267569,1.39823891673566,18,10.9458354897176,12.952548576934,9.98636670649324,14.3030392398837,0.329568073247572,11.4390739431766,12.8297296529651,0
365,90,20,Nv,Host-seeking mosquitoes,18.9575535924908,22.9000806617939,20.8980096341515,20.8995505222542,1.11879669357824,18,20.4976877589688,21.3372387963005,19.1739174885697,22.7280847701937,0.26370290959942,20.3416451275587,21.4543741407443,0
365,90,20,PR,Prevalence,0.955547285579786,3.42690000739523,2.50542462584795,2.54599785529034,0.66624366625892,18,2.23737743280486,3.004577108878,1.10086130317488,3.36544758179464,0.157035138111423,2.17410944519326,2.83673980650263,0
365,90,20,simulatedEIR,EIR,21.2950876206154,26.9410248343549,23.889918243536,23.7687717343189,1.63718829656734,18,23.0162436726492,24.7326093766992,21.4904373735991,26.8339419741398,0.385888982194006,23.0757636575888,24.7040728294832,0
365,90,30,Nv,Host-seeking mosquitoes,29.247522929448,34.7816957820165,31.0685308440974,30.794566095681,1.67867662590242,18,29.8523334637302,31.8854776921797,29.2636278925206,34.7739574678259,0.395667875198318,30.2337445973558,31.903317090839,0
365,90,30,PR,Prevalence,3.04658244633716,5.80717538242596,4.61774175412905,4.86167490065115,0.786514459510169,18,4.15467764603061,5.14344465735514,3.1276727800458,5.65782430051768,0.185383235940304,4.22661731507305,5.00886619318505,0
365,90,30,simulatedEIR,EIR,32.7522521981166,39.7999979195911,35.713152466056,35.3026950917945,2.09170264449838,18,34.1281810412273,36.5758728223212,33.057509779523,39.6841349954565,0.493019041383546,34.6729732123766,36.7533317197355,0
365,90,40,Nv,Host-seeking mosquitoes,39.7989933787281,46.4722414558137,41.6369466159632,40.8343070068856,2.02728089284134,18,40.3972085879296,41.9466530537153,39.8804085694811,46.467174475883,0.477834688899342,40.6288035456943,42.6450896862322,0
365,90,40,PR,Prevalence,5.75010641135875,9.05278258121661,7.65394725062794,7.56696190730779,0.729504795019519,18,7.44471867025631,8.15443167918086,6.12302596970601,8.77997309180079,0.171945929155468,7.29117305075071,8.01672145050517,0
